dt	item_third_cate_name	item_sku_id	gmv	cost_tax	income	grossfit	gross_sales	rebate_amunt_notax	adv_amount	store_fee	deliver_fee	net_profit
2016-04	饮料	1073100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073101	18480.0	16581.211000000014	15620.781798632503	2110.208999999986	1713.574468497926	180.7008547008547	0.0	664.523488676435	4345.00095493715	-4550.9097783664665
2016-04	饮料	1073102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073106	15780.0	14133.361000000003	13309.810738803433	1827.1689999999974	1495.02407496776	154.29914529914532	0.0	854.6502566277094	3644.4925195643614	-4086.6751508551065
2016-04	饮料	1073107	35838.0	32372.97269999997	29994.13969494018	3875.0273000000307	3485.0883377123723	350.42735042735046	0.0	1404.8743875490466	8786.396096080167	-9291.003602828325
2016-04	饮料	1073108	34469.11999999991	29007.727499999946	28862.057771794916	5461.392499999962	4473.201138088967	0.0	0.0	333.61169170363223	10625.80844381682	-10745.651598701192
2016-04	饮料	1073109	31133.439999999937	25060.04239999997	26095.42110167516	6073.3975999999675	4867.056271414637	0.0	0.0	274.9639637781009	8802.901949882542	-7475.7675876790145
2016-04	饮料	1073110	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1073112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.15344072370859405
2016-04	饮料	1074529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074531	0.0	0.0	0.0	0.0	-2.1941501176671023	0.0	0.0	0.0	0.0	-2.1941501176671023
2016-04	饮料	1074532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.032485707634711265
2016-04	饮料	1074533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.2185379752037893
2016-04	饮料	1074536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074537	36630.0	29968.225100000047	30856.615206871764	7080.834899999953	5612.900932510973	358.1709401709402	0.0	923.1250283398941	7640.889842195355	-5432.641342543747
2016-04	饮料	1074538	0.0	0.0	0.0	0.0	-1.6555128060975568	0.0	0.0	0.0	0.0	-1.9713820679797072
2016-04	饮料	1074539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074540	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074541	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074542	0.0	0.0	0.0	0.0	-0.827756416840923	0.0	0.0	0.0	0.0	-0.827756416840923
2016-04	饮料	1074543	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05598360080446018
2016-04	饮料	1074544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074545	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074546	0.0	0.0	0.0	0.0	-350.64649572649574	0.0	0.0	-49.142257802429086	0.0	-301.5335482029776
2016-04	饮料	1074548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074553	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1074554	108823.19999999984	83956.63200000004	91336.17266051355	26111.547999999795	20675.88656912998	1064.0854700854702	0.0	3118.8553765950182	33763.71430398585	-26120.5299349337
2016-04	饮料	1079285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1079409	0.0	0.0	0.0	0.0	-0.1377468276631	0.0	0.0	0.0	0.0	-0.17922034976277365
2016-04	饮料	1079410	0.0	0.0	0.0	0.0	-6.839512616585936	0.0	0.0	0.0	0.0	-6.839512616585936
2016-04	饮料	1079413	0.0	0.0	0.0	0.0	7.360805091436017	0.0	0.0	0.0	0.0	7.245372339601958
2016-04	饮料	1079590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1079596	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1079597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1079598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1083378	85204.0	69520.0	72174.5439316243	16026.6	15334.593614986345	292.8205128205129	0.0	3251.4382787142586	11567.30234470428	-3046.298085876647
2016-04	饮料	1083379	154354.4	125840.0	130909.27883760595	28949.949999999993	27445.310628726176	372.2649572649573	0.0	2301.488319685223	19953.596544614877	-1084.9465422586431
2016-04	饮料	1084808	17605.3	14344.0	14903.05938461534	3344.859999999999	7332.175167793757	71.41880341880342	0.0	321.0339434067469	1848.6556258659814	4494.483686515282
2016-04	饮料	1084809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2016-04	饮料	1084815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
